Date,open,high,low,close,volume,dividends,stock splits,symbol,rsi,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,sma_20,sma_50,sma_200,ema_12,ema_26,atr,date,year,month,day,day_of_week,daily_return,volume_sma_20,volume_above_avg
2024-07-10 00:00:00-04:00,188.46603485485895,191.05663943714717,188.3464736353611,190.4886932373047,15952500,0.0,0.0,GOOGL,71.21785504424471,171.16240022174944,181.4988250732422,191.83524992473494,11.390073569150195,0.934863518732215,4.311620872191696,0.6181127543746583,3.693508117817038,181.4988250732422,175.3401495361328,,185.2290344037758,180.91741353158412,3.1706547556706672,2024-07-10,2024,7,10,2,1.1641455991547645,21734475.0,False
2024-07-11 00:00:00-04:00,189.16352474556632,190.16986719879003,184.4107683999166,184.8990020751953,25625800,0.0,0.0,GOOGL,57.34963739350232,171.83183820491786,181.94470825195313,192.0575782989884,11.116421185529823,0.6460660430472096,3.9659141830827878,0.2179248522125996,3.747989330870188,181.94470825195313,175.7309411621094,,185.17826019937883,181.21234601629604,3.3791828647713107,2024-07-11,2024,7,11,3,-2.934395247882726,21938735.0,True
2024-07-12 00:00:00-04:00,184.41074571984632,186.43340394870364,183.82288283046884,184.40078735351562,22898400,0.0,0.0,GOOGL,56.29735292328007,172.39038128303403,182.30739135742186,192.2244014318097,10.879438294353175,0.6055457229745219,3.61012213623286,-0.11029375570986266,3.720415891942723,182.30739135742186,176.1788473510742,,185.05864899232296,181.4485268560901,3.3240659176197633,2024-07-12,2024,7,12,4,-0.2694523583621433,21690420.0,True
2024-07-15 00:00:00-04:00,184.25132048016474,187.5593225326645,184.25132048016474,185.85549926757812,16474000,0.0,0.0,GOOGL,58.68128778628882,173.5211094882991,182.87383422851562,192.22655896873215,10.228609007595418,0.6594008763158294,3.4062720854211648,-0.2513150452172468,3.6575871306384116,182.87383422851562,176.6343508911133,,185.18124134236223,181.77496925694106,3.3229143753921333,2024-07-15,2024,7,15,0,0.7888859559334049,21468455.0,False
2024-07-16 00:00:00-04:00,186.6825227917543,187.99774187820162,182.70694481891954,183.2549591064453,18290700,0.0,0.0,GOOGL,53.10444073235743,174.3996758976797,183.22904586791992,192.05841583816013,9.637522182596346,0.5014674455036278,3.0002920944620826,-0.5258360289410633,3.526128123403146,183.22904586791992,176.98290649414062,,184.88489022914422,181.88459813468214,3.463946342283757,2024-07-16,2024,7,16,1,-1.3992269108964006,21479810.0,False
2024-07-17 00:00:00-04:00,182.3083784640881,182.88628299827582,179.24947234058598,180.3654327392578,20734100,0.0,0.0,GOOGL,47.68203892828323,175.01112899308416,183.41736221313477,191.82359543318537,9.166234993917744,0.31847223399670443,2.4175217122032677,-0.8868851289599027,3.3044068411631704,183.41736221313477,177.26133026123046,,184.189589076854,181.77206736465072,3.502747596598896,2024-07-17,2024,7,17,2,-1.5767793577193712,21535590.0,False
2024-07-18 00:00:00-04:00,181.27212839599844,181.8400745567317,175.83188043287228,177.04747009277344,25315700,0.0,0.0,GOOGL,42.33634890288411,175.63141976199964,183.54689178466796,191.4623638073363,8.625013418319863,0.08944825568952271,1.6687043444780727,-1.3085619973480784,2.977266341826151,183.54689178466796,177.45627655029296,,183.0908015408416,181.42209719636352,3.6822225967110085,2024-07-18,2024,7,18,3,-1.839577903644618,21707880.0,True
2024-07-19 00:00:00-04:00,178.2331677734678,179.63805760345338,176.4894958420638,177.017578125,18881900,0.0,0.0,GOOGL,42.29034889367709,175.9510943159545,183.6146453857422,191.2781964555299,8.347428990414052,0.06958156860531314,1.0606229524553044,-1.5333147114966774,2.5939376639519818,183.6146453857422,177.58792510986328,,182.156459476866,181.0958365244107,3.644002218922862,2024-07-19,2024,7,19,4,-0.01688358933216172,21643970.0,False
2024-07-22 00:00:00-04:00,179.9369802536856,182.0393510707807,179.5782814108386,181.01307678222656,24100300,0.0,0.0,GOOGL,50.09556336794347,176.24987014162107,183.7162757873535,191.18268143308595,8.128191815051371,0.31897588120784653,0.8908482737836607,-1.3624715121346567,2.2533197859183174,183.7162757873535,177.83670532226563,,181.98055444692145,181.08970617313778,3.742658287107979,2024-07-22,2024,7,22,0,2.257119716328493,19919850.0,True
2024-07-23 00:00:00-04:00,181.39169894871614,182.94605545937614,180.88353341003798,181.13262939453125,36352700,0.0,0.0,GOOGL,50.3121141098192,176.65237976227172,183.84430999755858,191.03624023284544,7.8239356283394015,0.31147755092766327,0.7572187678426303,-1.1968808144605496,1.95409958230318,183.84430999755858,178.07633178710938,,181.85010443886142,181.0928856710188,3.6223724532702666,2024-07-23,2024,7,23,1,0.06604639533778212,20822585.0,True
